email,label
Actualice su información de pago para evitar cargos.!!,1
Agenda d la junta y documentos adjuntos....,0
Felicitación navideña del departamento. [captura de pantalla],0
Agenda de la reunión y documentos adjuntos.!,0
Evite el bloqueo de su cuenta. Confirme sus datos. https://bit.ly/verify [imagen adjunta],1
Agenda de la junta y documentos adjuntos. https://portal.empresa.example,0
Aviso de mantenimiento programado en el sistema.!,0
Tu pedido ha sido nviado y llegará en 2 días.,0
"Order shipped, arriving soon. https://portal.empresa.example.",0
tax refund available. claim your money now. [imagen adjunta],1
verifique sua conta bancária. clique aqui. http://go.example.com/login!!,1
Newsletter del ayuntamiento: actividades culturales.,0
Reciba su reembolso haciendo clic en este enlace.,1
Actualización de políticas de privacidad de la epresa.!,0
evite el bloqueo de su cuenta. confirme sus datos. http://go.example.com/login...,1
Su contraseña ha expirado. Actualícela en este enlace. !!,1
Actualice su información de pago para evitar cargos. http://tiiny.url/pago!,1
"Order shipped, arriving soon. https://portal.empresa.example [imagen adjunta]",0
Su cuenta ha sido suspendida. Ingrrese aquí para reactivarla....,1
Confirmación de asistencia a la reunión del miércoles. https://portal.empresa.example [doc adjunto]!,0
Acceda urgentemente a su bannco en este enlace. https://secure-update.example [doc adjunto]!!,1
Gracias por tu compra. Adjuntamos la factra.,0
Detectamos actividad sospechosa. Verifique su identidad....,1
Your account is suspended. Click to restore access. http://go.example.com/login ...,1
invitación a la conferencia anual de tecnología.!,0
Resumo de conta do banco (documento pdf)..,0
Felicitación navideña del departamento.!,0
Your aaccount is suspended. Click to restore access.,1
Su contraseña ha expirado. Actualícela en este enlace. http://short.link/seguro,1
Entrega de entradas para el concierto del sábado..,0
Evite el bloqueo de su cuenta. confirme sus datos. http://tiny.url/pago.,1
Su contraseña ha expirado. actualícela en este enlace. http://short.link/seguro...,1
ATUALIZE SUA SENHA IMEDIATAMENTE. HTTP://GO.EXAMPLE.COM/LOGIN!,1
Revisión de contrato pendiente de firma. httpp://go.example.com/login!,1
Actualización del sistema de pagos internos (solo aviso). ...,0
agenda de la junta y documentos adjuntos. https://portal.empresa.example...,0
Resumo de conta do banco (documento pdf).!!,0
Actualice su información de pago para evitar cargos. https://bit.ly/verify !!,1
Reciba su reembolso haciendo clic en este enlace. http://go.example.com/login...,1
Resumen de actividad de seguridad del portal corporativo. [captura de pantalla]...,0
¡felicidades! ha ganado un iphone. reclámelo ahora. https://secure-update.example [pdf adjunto]...,1
Your account is suspended. Click to restore access..,1
Entrega de entradas para el concierto del sábado.!!,0
Actualice su información de pago para evitar cargos. http://go.example.com/login.,1
invitación a la conferencia anual de tecnología.!,0
DOCUMENTO COMPARTIDO: POLÍTICA DE VACACIONES. HTTPS://SECURE-UPDATE.EXAMPLE!,1
Aviso de mantenimiento programado en el sistema. [imagen adjunta]!!,0
